model-1588825064,1588825064.159,0.54,0.2493,0.52,0.251
model-1588825064,1588825064.185,0.51,0.2524,0.45,0.2504
model-1588825064,1588825064.21,0.41,0.2504,0.52,0.2496
model-1588825064,1588825064.239,0.51,0.2497,0.52,0.2492
model-1588825064,1588825064.269,0.45,0.2524,0.53,0.2496
model-1588825064,1588825064.295,0.52,0.2499,0.5,0.2499
model-1588825064,1588825064.32,0.52,0.2496,0.48,0.2507
model-1588825064,1588825064.344,0.6,0.2476,0.48,0.2533
model-1588825064,1588825064.373,0.53,0.2491,0.48,0.2563
model-1588825064,1588825064.397,0.55,0.247,0.48,0.2598
model-1588825064,1588825064.421,0.5,0.2565,0.48,0.2552
model-1588825064,1588825064.448,0.48,0.2557,0.48,0.2518
model-1588825064,1588825064.478,0.47,0.2525,0.48,0.2505
model-1588825064,1588825064.502,0.61,0.247,0.48,0.2502
model-1588825064,1588825064.527,0.58,0.2485,0.48,0.2502
model-1588825064,1588825064.552,0.5,0.2501,0.48,0.2502
model-1588825064,1588825064.579,0.53,0.2494,0.48,0.2502
model-1588825064,1588825064.603,0.47,0.2502,0.48,0.2502
model-1588825064,1588825064.627,0.51,0.2498,0.48,0.2502
model-1588825064,1588825064.652,0.44,0.2508,0.48,0.25
model-1588825064,1588825064.679,0.52,0.2498,0.48,0.2499
model-1588825064,1588825064.703,0.51,0.2499,0.48,0.2498
model-1588825064,1588825064.729,0.53,0.2498,0.48,0.2497
model-1588825064,1588825064.755,0.47,0.2494,0.54,0.2496
model-1588825064,1588825064.781,0.6,0.2498,0.54,0.2495
model-1588825064,1588825064.805,0.53,0.2496,0.54,0.2493
model-1588825064,1588825064.833,0.45,0.2505,0.55,0.2493
model-1588825064,1588825064.859,0.47,0.2503,0.55,0.2492
model-1588825064,1588825064.886,0.56,0.249,0.55,0.2491
model-1588825064,1588825064.91,0.49,0.2496,0.58,0.249
model-1588825064,1588825064.935,0.63,0.2483,0.56,0.2488
model-1588825064,1588825064.959,0.55,0.2488,0.54,0.2486
model-1588825064,1588825064.986,0.48,0.2499,0.54,0.2484
model-1588825064,1588825065.012,0.58,0.2473,0.55,0.2482
model-1588825064,1588825065.039,0.58,0.2473,0.54,0.2479
